frame,t_s,x_m,y_m,heading_deg,range_m,speed_mps
92,3.0769,25.5753,4.8012,-191.502,26.022,5.636
93,3.1104,25.3999,4.8401,-191.07,25.8569,5.4819
94,3.1438,25.1963,4.8703,-190.638,25.6627,5.418
95,3.1773,25.0051,4.9007,-190.197,25.4808,5.4133
96,3.2107,24.8223,4.9314,-189.761,25.3074,5.1995
97,3.2441,24.649,4.9601,-189.327,25.1431,5.1861
98,3.2776,24.4549,4.9831,-188.889,24.9575,5.1375
99,3.311,24.3006,5.0125,-188.456,24.8122,4.9421
100,3.3445,24.1466,5.0384,-188.027,24.6667,4.8826
101,3.3779,23.9329,5.0499,-187.599,24.4598,4.8679
102,3.4114,23.7648,5.0696,-187.174,24.2995,4.8127
103,3.4448,23.6049,5.0893,-186.753,24.1473,4.6955
104,3.4783,23.4514,5.108,-186.332,24.0012,4.6627
105,3.5117,23.2999,5.1257,-185.927,23.857,4.3219
106,3.5452,23.1686,5.1431,-185.525,23.7326,3.9997
107,3.5786,23.0571,5.1606,-185.126,23.6276,3.7925
108,3.612,22.9547,5.1771,-184.729,23.5312,3.6386
109,3.6455,22.8357,5.1875,-184.333,23.4175,3.5906
110,3.6789,22.7178,5.1968,-183.948,23.3046,3.4538
111,3.7124,22.6207,5.2088,-183.571,23.2127,3.4464
112,3.7458,22.5405,5.2239,-183.187,23.1379,3.3171
113,3.7793,22.4493,5.2344,-182.842,23.0515,3.1879
114,3.8127,22.3342,5.2376,-182.48,22.9401,3.1961
115,3.8462,22.2241,5.2413,-182.12,22.8338,3.2239
116,3.8796,22.1444,5.2518,-181.787,22.7586,3.1724
117,3.913,22.0155,5.2495,-181.442,22.6327,3.2699
118,3.9465,21.9201,5.2555,-181.096,22.5413,3.2813
119,3.9799,21.8209,5.26,-180.76,22.446,3.2754
120,4.0134,21.7234,5.2642,-180.425,22.3521,3.3117
121,4.0468,21.6298,5.2691,-180.092,22.2623,3.333
122,4.0803,21.518,5.2691,-179.765,22.1537,3.381
123,4.1137,21.417,5.2714,-179.438,22.0562,3.4085
124,4.1472,21.3089,5.2716,-179.11,21.9513,3.4483
125,4.1806,21.1966,5.2705,-178.783,21.842,3.4357
126,4.214,21.0695,5.2648,-178.452,21.7173,3.4846
127,4.2475,20.9782,5.2679,-178.128,21.6295,3.5139
128,4.2809,20.8662,5.2653,-177.791,21.5202,3.7003
129,4.3144,20.7405,5.2598,-177.464,21.3971,3.7641
130,4.3478,20.612,5.2534,-177.133,21.271,3.8344
131,4.3813,20.4611,5.241,-176.801,21.1217,3.9533
132,4.4147,20.3173,5.2304,-176.472,20.9798,3.9194
133,4.4482,20.168,5.2174,-176.136,20.8319,4.0122
134,4.4816,20.0155,5.2034,-175.8,20.6808,4.0775
135,4.5151,19.8335,5.1812,-175.467,20.4991,4.1463
136,4.5485,19.6947,5.1699,-175.135,20.362,4.0462
137,4.5819,19.5677,5.1604,-174.81,20.2367,3.9603
138,4.6154,19.4232,5.1449,-174.483,20.0931,3.8885
139,4.6488,19.2915,5.1317,-174.168,19.9623,3.8967
140,4.6823,19.1461,5.1141,-173.856,19.8173,3.8493
141,4.7157,19.0208,5.1009,-173.546,19.6929,3.7438
142,4.7492,18.8794,5.0821,-173.239,19.5515,3.7421
143,4.7826,18.7572,5.0678,-172.94,19.4298,3.7529
144,4.8161,18.6468,5.0561,-172.652,19.3202,3.7179
145,4.8495,18.5231,5.04,-172.38,19.1965,3.6229
146,4.8829,18.4007,5.0232,-172.114,19.074,3.5418
147,4.9164,18.2812,5.0063,-171.857,18.9542,3.4882
148,4.9498,18.1682,4.9903,-171.612,18.8411,3.3911
149,4.9833,18.0695,4.9774,-171.373,18.7425,3.399
150,5.0167,17.975,4.9652,-171.145,18.6482,3.3893
151,5.0502,17.8733,4.9506,-170.929,18.5463,3.4007
152,5.0836,17.7587,4.9319,-170.724,18.4308,3.3679
153,5.1171,17.6601,4.9172,-170.528,18.3319,3.3574
154,5.1505,17.5482,4.8983,-170.335,18.2191,3.3185
155,5.1839,17.4313,4.8775,-170.148,18.1008,3.2395
156,5.2174,17.3325,4.8611,-169.972,18.0013,3.1457
157,5.2508,17.2388,4.8455,-169.805,17.9068,3.0487
158,5.2843,17.1305,4.8252,-169.638,17.7971,3.0123
159,5.3177,17.0047,4.7995,-169.474,17.6691,3.0258
160,5.3512,16.8866,4.7757,-169.315,17.549,2.9374
161,5.3846,16.7867,4.7564,-169.166,17.4475,2.9379
162,5.4181,16.6858,4.7367,-169.015,17.3451,2.9304
163,5.4515,16.6031,4.7218,-168.872,17.2615,2.8868
164,5.4849,16.5075,4.7029,-168.729,17.1643,2.9079
165,5.5184,16.4074,4.6825,-168.587,17.0625,2.9107
166,5.5518,16.3236,4.6665,-168.448,16.9775,2.8889
167,5.5853,16.2245,4.6458,-168.312,16.8765,2.7963
168,5.6187,16.1297,4.6259,-168.168,16.7799,2.7449
169,5.6522,16.0472,4.6092,-168.031,16.6961,2.6541
170,5.6856,15.9531,4.5886,-167.889,16.5999,2.6296
171,5.7191,15.8813,4.5742,-167.75,16.5269,2.5795
172,5.7525,15.8214,4.5629,-167.616,16.4662,2.5759
173,5.786,15.7428,4.546,-167.488,16.386,2.5182
174,5.8194,15.6542,4.5259,-167.36,16.2953,2.5141
175,5.8528,15.5705,4.507,-167.237,16.2097,2.5507
176,5.8863,15.4984,4.4914,-167.109,16.1361,2.5134
177,5.9197,15.428,4.4759,-166.987,16.0642,2.4707
178,5.9532,15.3592,4.4607,-166.869,15.9938,2.4498
179,5.9866,15.2905,4.4453,-166.751,15.9236,2.3836
180,6.0201,15.2171,4.4282,-166.637,15.8483,2.4584
181,6.0535,15.1325,4.4079,-166.525,15.7614,2.5259
182,6.087,15.0385,4.3847,-166.408,15.6647,2.5834
183,6.1204,14.949,4.3627,-166.294,15.5726,2.5813
184,6.1538,14.8491,4.3376,-166.182,15.4697,2.6391
185,6.1873,14.7521,4.3132,-166.073,15.3697,2.6421
186,6.2207,14.6635,4.2911,-165.971,15.2784,2.6024
187,6.2542,14.5724,4.268,-165.875,15.1846,2.5815
188,6.2876,14.4845,4.2457,-165.775,15.094,2.5621
189,6.3211,14.3963,4.2231,-165.681,15.0029,2.5189
190,6.3545,14.3166,4.2028,-165.595,14.9208,2.475
191,6.388,14.2462,4.1851,-165.517,14.8482,2.3586
192,6.4214,14.164,4.1636,-165.439,14.7633,2.319
193,6.4548,14.0864,4.1434,-165.365,14.6831,2.2804
194,6.4883,14.0059,4.1221,-165.288,14.5999,2.2579
195,6.5217,13.9252,4.1007,-165.22,14.5164,2.2506
196,6.5552,13.8473,4.0799,-165.15,14.4358,2.2258
197,6.5886,13.762,4.0569,-165.083,14.3476,2.2144
198,6.6221,13.7019,4.0412,-165.015,14.2855,2.1501
199,6.6555,13.6383,4.0244,-164.955,14.2197,2.0925
200,6.689,13.5825,4.0096,-164.893,14.162,2.0411
201,6.7224,13.5294,3.9956,-164.834,14.1071,1.9894
202,6.7559,13.4719,3.9802,-164.776,14.0475,1.9654
203,6.7893,13.4014,3.9609,-164.717,13.9745,1.9863
204,6.8227,13.3453,3.9457,-164.659,13.9163,1.9313
205,6.8562,13.2932,3.9316,-164.604,13.8624,1.8847
206,6.8896,13.2318,3.9147,-164.543,13.7987,1.8596
207,6.9231,13.1766,3.8995,-164.488,13.7415,1.834
208,6.9565,13.1244,3.8851,-164.435,13.6874,1.8096
209,6.99,13.0688,3.8697,-164.377,13.6296,1.7919
210,7.0234,13.026,3.858,-164.321,13.5853,1.7694
211,7.0569,12.9671,3.8414,-164.262,13.5241,1.8173
212,7.0903,12.9056,3.824,-164.207,13.4603,1.8474
213,7.1237,12.8419,3.806,-164.152,13.3941,1.8546
214,7.1572,12.7807,3.7886,-164.097,13.3304,1.8465
215,7.1906,12.7152,3.7698,-164.042,13.2622,1.8558
216,7.2241,12.6554,3.7527,-163.989,13.2,1.8648
217,7.2575,12.5996,3.7367,-163.939,13.142,1.8862
218,7.291,12.5349,3.7181,-163.885,13.0747,1.8815
219,7.3244,12.4666,3.6983,-163.837,13.0036,1.8772
220,7.3579,12.4057,3.6806,-163.79,12.9401,1.8738
221,7.3913,12.3408,3.6617,-163.745,12.8726,1.8837
222,7.4247,12.284,3.6452,-163.695,12.8134,1.8721
223,7.4582,12.2278,3.6288,-163.646,12.7549,1.8702
224,7.4916,12.169,3.6115,-163.596,12.6936,1.8679
225,7.5251,12.1057,3.5929,-163.548,12.6276,1.8415
226,7.5585,12.0469,3.5755,-163.493,12.5663,1.8417
227,7.592,11.9907,3.5588,-163.441,12.5077,1.8448
228,7.6254,11.9377,3.5431,-163.382,12.4524,1.8389
229,7.6589,11.8769,3.5249,-163.321,12.389,1.8398
230,7.6923,11.821,3.5082,-163.259,12.3306,1.8391
231,7.7258,11.761,3.4901,-163.194,12.2679,1.8474
232,7.7592,11.7032,3.4727,-163.13,12.2075,1.8687
233,7.7926,11.6435,3.4546,-163.064,12.1451,1.8906
234,7.8261,11.5858,3.437,-163.0,12.0848,1.9223
235,7.8595,11.5291,3.4196,-162.937,12.0256,1.9415
236,7.893,11.4714,3.4018,-162.878,11.9651,1.9735
237,7.9264,11.4181,3.3853,-162.817,11.9094,2.0039
238,7.9599,11.3588,3.3669,-162.762,11.8473,2.0329
239,7.9933,11.2991,3.3483,-162.701,11.7847,2.0732
240,8.0268,11.2353,3.3285,-162.64,11.718,2.0896
241,8.0602,11.1645,3.3064,-162.578,11.6438,2.1242
242,8.0936,11.0892,3.2829,-162.515,11.565,2.1614
243,8.1271,11.0137,3.2592,-162.45,11.4858,2.189
244,8.1605,10.9413,3.2364,-162.389,11.4099,2.2066
245,8.194,10.8683,3.2133,-162.332,11.3334,2.216
246,8.2274,10.7962,3.1904,-162.279,11.2577,2.2274
247,8.2609,10.721,3.1665,-162.23,11.1788,2.2529
248,8.2943,10.6384,3.1403,-162.173,11.0922,2.2895
249,8.3278,10.5647,3.1166,-162.113,11.0148,2.3074
250,8.3612,10.4904,3.0927,-162.052,10.9367,2.3029
251,8.3946,10.414,3.068,-161.983,10.8565,2.3135
252,8.4281,10.338,3.0434,-161.909,10.7766,2.3221
253,8.4615,10.2605,3.0182,-161.83,10.6952,2.3332
254,8.495,10.1815,2.9925,-161.748,10.6122,2.3486
255,8.5284,10.1034,2.9669,-161.663,10.53,2.3546
256,8.5619,10.0325,2.9432,-161.581,10.4553,2.3339
257,8.5953,9.9589,2.9187,-161.504,10.3778,2.332
258,8.6288,9.8846,2.8939,-161.418,10.2995,2.3357
259,8.6622,9.8087,2.8685,-161.332,10.2195,2.3312
260,8.6957,9.7404,2.8452,-161.25,10.1475,2.3242
261,8.7291,9.6699,2.8211,-161.171,10.073,2.3165
262,8.7625,9.6021,2.7978,-161.095,10.0014,2.3033
263,8.796,9.5183,2.7697,-161.006,9.9131,2.2352
264,8.8294,9.4396,2.743,-160.928,9.83,2.1629
265,8.8629,9.3524,2.714,-160.849,9.7383,2.0559
266,8.8963,9.2733,2.6873,-160.778,9.6548,1.9504
267,8.9298,9.2193,2.6681,-160.761,9.5977,1.9466
268,8.9632,9.1612,2.6476,-160.744,9.5362,1.9541
269,8.9967,9.1044,2.6275,-160.716,9.4759,1.9526
270,9.0301,9.0421,2.6058,-160.689,9.4101,1.9519
271,9.0635,8.9842,2.5853,-160.664,9.3488,1.9374
272,9.097,8.9245,2.5643,-160.632,9.2856,1.9076
273,9.1304,8.8675,2.5441,-160.607,9.2252,1.8757
274,9.1639,8.8104,2.5239,-160.568,9.1648,1.8325
275,9.1973,8.7524,2.5034,-160.534,9.1034,1.7841
276,9.2308,8.6982,2.4842,-160.492,9.046,1.7326
277,9.2642,8.6447,2.4652,-160.447,8.9893,1.6814
278,9.2977,8.593,2.4467,-160.397,8.9346,1.6347
279,9.3311,8.5444,2.4292,-160.342,8.883,1.5816
280,9.3645,8.4947,2.4115,-160.288,8.8303,1.5421
281,9.398,8.4491,2.395,-160.226,8.782,1.4908
282,9.4314,8.4018,2.378,-160.167,8.7319,1.4323
283,9.4649,8.3544,2.3611,-160.101,8.6816,1.3669
284,9.4983,8.312,2.3457,-160.053,8.6366,1.3278
285,9.5318,8.2709,2.3308,-160.006,8.593,1.2887
286,9.5652,8.231,2.3162,-159.958,8.5507,1.2496
287,9.5987,8.1924,2.3021,-159.911,8.5097,1.2105
288,9.6321,8.155,2.2884,-159.863,8.47,1.1714
289,9.6656,8.1188,2.2751,-159.816,8.4315,1.1323
290,9.699,8.0839,2.2622,-159.77,8.3944,1.0933
291,9.7324,8.0502,2.2497,-159.723,8.3587,1.0542
292,9.7659,8.0178,2.2377,-159.676,8.3242,1.0152
293,9.7993,7.9865,2.2261,-159.63,8.291,0.9761
294,9.8328,7.9566,2.2149,-159.584,8.2591,0.9371
295,9.8662,7.9278,2.2042,-159.539,8.2285,0.898
296,9.8997,7.9003,2.1939,-159.493,8.1993,0.859
297,9.9331,7.874,2.184,-159.448,8.1713,0.82
298,9.9666,7.849,2.1745,-159.403,8.1446,0.781
