frame,u,v,X,Y,Z,n
40,333.5,456.5,32.39308,15.3541975,3.8149867,372
41,332.5,454.0,31.025616,14.685802,3.690823,357
42,332.5,451.0,31.434336,14.888493,3.8187318,364
43,332.0,449.5,31.307362,14.846254,3.8545403,372
44,331.5,447.5,31.51906,14.93289,3.9140108,377
45,331.0,445.5,29.904812,14.192772,3.7963715,338
46,330.5,444.5,29.939419,14.267232,3.7973716,377
47,330.0,444.5,30.64215,14.591486,3.867735,348
48,329.5,443.5,30.720196,14.6531315,3.9478018,377
49,329.5,444.0,30.180832,14.329646,3.8513901,352
50,328.5,443.5,29.430443,13.995745,3.818168,361
51,327.5,443.5,29.964317,14.322612,3.8605964,422
52,327.0,442.0,31.075245,14.831753,3.9984212,329
53,326.0,440.5,29.473124,14.055475,3.8361154,338
54,326.0,440.5,30.100494,14.375649,3.914853,345
55,325.5,438.5,29.78508,14.266129,3.9677887,385
56,325.0,437.5,28.75367,13.768642,3.8031137,420
57,324.5,436.5,30.15718,14.4319,3.9434528,395
58,324.0,435.5,28.549633,13.7156315,3.9234478,363
59,323.5,435.0,28.357718,13.6377945,3.845648,382
60,323.5,433.5,28.21096,13.513128,3.871106,344
61,322.5,431.5,28.338398,13.658383,3.934128,362
62,322.5,430.5,28.109215,13.586034,3.826144,373
63,321.0,431.0,28.221151,13.636444,3.8245146,409
64,321.0,430.5,28.630733,13.82966,3.9340477,428
65,321.0,431.5,27.479324,13.285477,3.7478628,434
66,321.0,430.5,27.172617,13.07263,3.6784406,432
67,321.5,431.0,27.51637,13.254082,3.7423246,390
68,323.0,431.0,27.037682,13.003269,3.6883192,384
69,323.5,430.5,26.82256,12.9007435,3.6846488,403
70,325.0,430.0,26.739658,12.792285,3.6721063,384
71,325.0,429.0,28.004978,13.425334,3.8684492,384
72,324.5,427.5,27.172274,13.005522,3.8005176,429
73,326.0,427.5,26.839289,12.803749,3.7296438,446
74,327.0,427.5,26.576555,12.672913,3.7585173,433
75,329.0,426.0,27.19981,12.935827,3.8455174,422
76,330.5,425.0,26.012354,12.277223,3.7478888,436
77,332.5,424.0,26.282566,12.410595,3.7799401,510
78,337.0,422.5,25.607574,12.053921,3.7403831,427
79,339.5,421.0,25.476068,11.869527,3.68743,479
80,343.0,421.0,25.833298,12.001944,3.7698941,438
81,347.5,420.0,25.272593,11.670414,3.659873,480
82,354.0,420.0,25.036037,11.468897,3.648044,476
83,359.5,420.5,25.584213,11.569051,3.7267785,423
84,364.5,420.5,25.071226,11.248609,3.6291373,467
85,369.5,422.0,24.284826,10.793746,3.4916875,510
86,375.0,423.0,24.718422,10.8791685,3.519803,450
87,384.5,424.0,24.7991,10.772916,3.5447092,503
88,389.5,423.0,24.520006,10.528388,3.5154843,480
89,397.0,423.5,25.057152,10.575098,3.5801933,490
90,406.5,422.5,24.89027,10.32738,3.5920236,455
91,413.5,422.0,24.529024,10.048996,3.5750484,575
92,420.5,420.5,24.270624,9.829901,3.51822,525
93,428.0,420.0,23.720615,9.443455,3.4661627,504
94,435.5,418.0,23.812254,9.357098,3.5309975,510
95,440.5,417.0,23.572157,9.198486,3.5102625,612
96,450.5,416.5,23.940578,9.079673,3.592528,502
97,445.0,417.0,23.602018,9.069097,3.5150619,432
98,463.0,413.5,22.96729,8.5382,3.4417763,546
99,472.5,413.0,22.94484,8.360687,3.4794066,501
100,470.5,412.0,23.335598,8.535486,3.502262,507
101,485.5,410.5,22.46617,7.9849586,3.4105482,629
102,494.5,408.5,23.011793,8.001261,3.484789,555
103,499.0,407.5,22.94702,7.883024,3.5453248,666
104,507.5,405.0,22.807201,7.6896152,3.5851116,612
105,515.0,402.5,22.842724,7.5423946,3.6339068,592
106,522.0,404.5,22.54171,7.3614483,3.5629954,592
107,530.5,401.5,22.674013,7.2214446,3.6101136,629
108,537.5,400.0,22.523216,7.049768,3.6295426,610
109,545.0,399.5,22.551573,6.9238234,3.6266232,592
110,552.5,397.5,22.191929,6.680389,3.6199887,585
111,558.5,396.5,22.551987,6.7059236,3.669625,663
112,565.5,394.0,21.948015,6.3800373,3.6119967,612
113,571.0,393.0,22.12999,6.354964,3.6719942,684
114,577.5,391.0,22.055618,6.208172,3.6937454,646
115,585.5,390.0,21.700788,5.9721465,3.7021575,646
116,592.0,390.0,22.114037,5.977333,3.7548203,608
117,598.0,387.5,21.671824,5.742294,3.665849,592
118,604.5,385.5,21.688171,5.635153,3.7254279,663
119,609.5,384.0,21.34373,5.4653387,3.6904984,646
120,616.0,384.5,22.129284,5.512646,3.8313336,624
121,623.0,383.5,22.030373,5.3896456,3.8492641,702
122,629.5,383.5,21.646833,5.1935487,3.799698,663
123,633.0,383.0,21.442015,5.0973997,3.7532911,720
124,640.0,382.5,21.337027,4.9414454,3.73075,820
125,646.5,380.5,21.540169,4.8598266,3.8066947,779
126,653.5,378.5,20.962116,4.6375914,3.7239144,741
127,658.5,376.5,21.037132,4.571751,3.7738638,663
128,665.0,376.5,21.167046,4.484134,3.7969866,738
129,670.0,374.0,21.02293,4.3747945,3.8239388,720
130,677.5,374.0,20.833761,4.206007,3.7700913,646
131,683.5,371.5,20.63965,4.0715785,3.7853458,629
132,689.5,371.0,20.663887,3.9789777,3.8043556,646
133,695.0,369.0,20.399408,3.8454323,3.7906818,720
134,701.5,366.5,20.384426,3.7418563,3.7985413,779
135,708.0,365.5,20.15123,3.5996888,3.79598,738
136,714.5,364.0,20.023952,3.4731221,3.7841554,760
137,719.5,363.5,20.014528,3.3931525,3.817786,779
138,727.5,363.0,19.83117,3.2341895,3.7740433,760
139,733.5,362.0,19.739975,3.1331477,3.7877932,680
140,738.5,362.0,19.80278,3.062283,3.7794929,798
141,743.5,361.5,19.685429,2.9604871,3.7956755,697
142,751.0,360.5,19.225275,2.7869637,3.7133348,774
143,755.0,359.5,18.817862,2.6750207,3.6187007,738
144,761.5,358.0,19.064728,2.61373,3.693831,714
145,764.5,358.0,18.900034,2.542518,3.661967,798
146,771.5,357.0,18.825096,2.4228904,3.6515937,836
147,775.5,355.0,18.999699,2.389185,3.7157521,748
148,780.5,352.0,18.586777,2.2739892,3.677301,714
149,785.0,353.0,18.511034,2.1933913,3.6326494,792
150,789.5,349.5,18.650066,2.1415582,3.7512164,731
151,793.0,347.5,18.533474,2.0738742,3.7411346,774
152,797.5,347.0,18.324638,1.9787276,3.7208204,836
153,800.0,345.5,18.410934,1.9615935,3.7445502,810
154,804.5,346.0,17.978054,1.8495197,3.6522634,836
155,807.5,346.5,18.167278,1.8213603,3.6960177,931
156,809.0,345.5,18.050167,1.7920518,3.7119758,882
157,811.5,343.0,17.87738,1.7356956,3.6814704,836
158,815.0,340.5,17.520773,1.666183,3.6389234,940
159,817.5,340.0,17.402039,1.6100426,3.6235936,966
160,821.0,338.5,17.637445,1.5852525,3.6966531,810
161,824.0,338.0,17.547617,1.5347116,3.6725764,828
162,827.0,336.0,17.392052,1.4804196,3.6710713,828
163,829.5,335.0,17.391825,1.4397757,3.6862435,874
164,832.0,333.5,16.883938,1.3789825,3.589926,980
165,833.5,331.0,16.765705,1.3457317,3.599626,1008
166,838.0,330.0,16.669504,1.2771455,3.5796103,1000
167,841.5,328.5,16.823372,1.2442955,3.6297214,1029
168,843.5,327.5,16.49959,1.1923164,3.5793922,1029
169,846.0,326.5,16.625805,1.1683078,3.6267343,980
170,848.0,326.0,16.73239,1.155109,3.655821,1000
171,850.5,324.5,16.549389,1.1073843,3.646646,1071
172,853.5,323.0,16.480936,1.063466,3.6398644,1050
173,855.5,320.5,16.433252,1.035776,3.6721804,1219
174,856.5,319.5,16.408394,1.0213742,3.692331,1219
175,858.5,320.0,16.548227,1.0044818,3.7093272,1196
176,862.5,317.0,16.070704,0.9249165,3.6379333,1196
177,865.0,316.5,16.011894,0.89098793,3.625968,1122
178,869.0,315.5,15.839277,0.83474004,3.609723,1060
179,869.5,315.0,15.714511,0.8152178,3.5628076,1092
180,872.5,314.5,15.708172,0.78137267,3.5634704,1113
181,876.5,313.5,15.511484,0.72369033,3.5491002,1113
182,878.5,311.5,15.817528,0.7135977,3.6536202,1007
183,878.5,310.0,15.632982,0.7055358,3.6149855,1242
184,881.0,309.0,15.577867,0.6698338,3.6300633,1188
185,882.0,308.5,15.487762,0.65308166,3.5969875,1320
186,884.0,305.5,15.261181,0.61777395,3.5620394,1368
187,886.5,302.5,14.93638,0.5767256,3.53687,1311
188,889.0,300.5,15.212431,0.55891925,3.6412826,1210
189,890.0,299.5,15.12003,0.5443623,3.626514,1368
190,894.0,297.0,14.865426,0.486856,3.586524,1232
191,892.5,295.0,14.849649,0.5065525,3.6164732,1350
192,895.0,293.5,14.791052,0.47198755,3.6235893,1210
193,898.5,291.0,14.655745,0.43126088,3.614993,1134
194,899.0,289.5,14.722908,0.42625165,3.6337492,1100
195,902.0,287.0,14.309434,0.38614532,3.5634072,1120
196,901.0,286.5,14.303879,0.3893938,3.5784664,1254
197,901.0,284.0,14.297623,0.38916802,3.6047983,1392
198,903.5,283.0,14.305646,0.36455128,3.627919,1450
199,904.5,281.5,14.15339,0.34855226,3.5858002,1475
200,905.5,280.5,14.1645355,0.33898267,3.6046324,1475
201,907.0,278.0,14.123332,0.3191086,3.6222732,1392
202,910.0,276.5,14.043016,0.28673992,3.6028442,1342
203,909.0,276.0,13.9396715,0.29558936,3.5813606,1440
204,910.5,272.5,13.953225,0.27973,3.6459062,1525
205,911.0,272.0,13.818101,0.26935455,3.6129756,1392
206,912.5,270.5,13.897742,0.25690627,3.6468043,1475
207,914.0,269.5,13.808062,0.23856664,3.6434932,1586
208,915.5,268.0,13.715221,0.22074324,3.6299825,1620
209,915.5,266.5,13.657416,0.2204082,3.6288824,1575
210,918.5,264.0,13.562557,0.18657044,3.6335325,1500
211,917.5,262.5,13.521737,0.19673863,3.630429,1701
212,922.0,258.5,13.514366,0.14778471,3.6692128,1560
213,922.0,257.5,13.346412,0.14691383,3.6389687,1638
214,923.5,256.5,13.341941,0.13119727,3.6425288,1575
215,924.5,256.0,13.213718,0.11964258,3.6053991,1550
216,924.5,256.0,13.153957,0.11911817,3.5680356,1600
217,926.0,254.5,13.087548,0.10324788,3.5808082,1560
218,927.0,252.0,13.040834,0.09233081,3.611632,1664
219,928.0,252.5,13.040557,0.082116045,3.602655,1690
220,929.0,250.5,12.947508,0.07165544,3.5904543,1560
221,930.0,249.0,12.955522,0.061429158,3.6050572,1716
222,930.0,249.0,12.848072,0.060913377,3.58745,1848
223,932.5,246.5,12.770631,0.0357461,3.592441,1809
224,933.5,244.0,12.743735,0.025644708,3.5958862,1782
225,934.5,240.0,12.571229,0.0155385155,3.5992467,1782
226,936.0,240.0,12.4795,0.0008008331,3.5652733,1716
227,938.0,237.0,12.462385,-0.018504974,3.5828567,1716
228,937.0,236.0,12.471859,-0.008827533,3.603152,1848
229,938.5,235.5,12.42683,-0.023366578,3.5896828,1943
230,939.0,233.5,12.367424,-0.028014274,3.5919793,1876
231,940.5,233.0,12.238558,-0.041838333,3.5467076,1836
232,943.5,231.0,12.086004,-0.06935914,3.5174081,1972
233,944.5,229.5,12.180398,-0.079940185,3.5799503,1943
234,946.5,228.0,12.163634,-0.09895253,3.5947208,1836
235,949.0,225.5,12.026528,-0.12125599,3.5638237,1742
236,951.5,223.5,11.9684,-0.14371449,3.5766513,1809
237,951.0,221.0,11.878581,-0.13872474,3.572513,1768
238,953.5,220.0,11.786263,-0.15986213,3.5450025,1890
239,955.0,217.0,11.752937,-0.17351395,3.5651479,1960
240,957.0,214.5,11.816886,-0.1891242,3.616941,1988
241,958.0,212.0,11.64786,-0.19656135,3.5906503,1960
242,958.5,211.0,11.548113,-0.20219648,3.5717657,2030
243,960.5,210.0,11.474001,-0.21886799,3.5563908,2088
244,961.0,209.0,11.478838,-0.22234836,3.5842626,2160
245,962.5,206.0,11.368243,-0.23519918,3.5672212,2294
246,963.5,204.0,11.3235855,-0.24273537,3.5740495,2356
247,964.0,201.5,11.189222,-0.24390191,3.551488,2464
248,965.5,199.5,11.126338,-0.25580308,3.5380354,2541
249,967.0,193.0,10.99037,-0.26578155,3.5645413,2368
250,969.5,192.5,10.923943,-0.28525218,3.550417,2449
251,973.0,189.5,10.811024,-0.31153482,3.52769,2370
252,974.0,185.5,10.66876,-0.31688228,3.5070815,2370
253,977.5,182.0,10.638958,-0.34515774,3.5401893,2320
254,978.0,180.0,10.511541,-0.34422475,3.5276551,2400
255,980.0,180.0,10.521494,-0.36102825,3.5291247,2460
256,981.0,177.5,10.45693,-0.36783573,3.5262423,2656
257,983.0,173.0,10.399477,-0.3809197,3.5343583,2624
258,985.0,170.0,10.331976,-0.3968072,3.5379393,2624
259,986.0,169.5,10.23539,-0.39954218,3.5156558,2890
260,990.5,163.5,10.179729,-0.43307137,3.5256524,2511
261,993.5,161.0,10.082562,-0.45335665,3.5184636,2542
262,998.0,158.0,9.989252,-0.4842192,3.5147977,2296
263,1000.0,154.0,9.940002,-0.49777454,3.5354316,2296
264,1001.0,152.5,9.799416,-0.4961948,3.4805756,2380
265,1004.0,150.0,9.782493,-0.5203061,3.500739,2580
266,1004.5,164.0,9.68601,-0.5194106,3.3767166,2310
267,1007.0,145.5,9.60266,-0.5330217,3.4697208,2848
268,1005.5,143.0,9.528043,-0.5186803,3.4657497,3330
269,1007.0,137.5,9.445469,-0.5251276,3.475,3204
270,1008.5,133.5,9.377742,-0.5286476,3.468818,3293
271,1011.0,132.5,9.29775,-0.5447024,3.459095,3610
272,1017.0,124.5,9.205831,-0.58100134,3.4632344,3162
273,1012.0,125.5,9.120417,-0.5470555,3.4502847,3880
274,1012.5,125.5,9.082516,-0.5602053,3.4533105,4085
275,1015.5,121.0,8.932785,-0.563225,3.4250913,4018
276,1018.0,121.5,8.88507,-0.5743637,3.4151592,3480
277,1017.0,140.0,8.798468,-0.5760878,3.209232,3192
278,1007.5,141.0,9.08042,-0.5184202,3.2831364,2508
279,1010.0,139.0,9.030543,-0.5291158,3.2821968,2427
280,1004.5,137.5,9.230168,-0.50381124,3.3820362,2046
281,1004.5,132.5,9.175975,-0.49805048,3.400155,1787
282,1034.0,103.0,8.609783,-0.66086024,3.38662,3672
283,1036.5,101.0,8.552431,-0.67304003,3.3897955,3570
284,1036.5,102.0,8.492748,-0.6664058,3.3737965,3774
285,1038.0,99.0,8.481729,-0.6780721,3.3885016,3724
286,1041.5,92.0,8.411476,-0.69475967,3.3956265,3220
287,1039.0,110.5,8.425581,-0.6782421,3.2753558,3306
288,1044.5,96.5,8.362419,-0.71024364,3.3619843,3255
289,1039.5,101.5,8.362419,-0.6777199,3.3226116,3977
290,1040.5,101.0,8.363945,-0.6844047,3.347614,4128
291,1039.5,104.0,8.314861,-0.6797766,3.296379,4230
292,1041.0,102.5,8.291731,-0.68361014,3.2918682,4370
293,1043.5,100.0,8.245174,-0.6949064,3.2854,4230
294,1044.0,99.0,8.217043,-0.6940517,3.2817893,4136
295,1043.5,99.0,8.177128,-0.69724554,3.2949464,4418
296,1044.0,101.0,8.152299,-0.69415146,3.2476077,4232
297,1045.5,100.0,8.185591,-0.70691705,3.2758498,4140
298,1046.0,100.5,8.212957,-0.7081751,3.2779484,4004
